id,dbms,method,indexed,batch_size,experiment_size,preload_size,run_time,git_hash,rows_per_second,ms_per_transaction,timestamp
1,mongodb,insert,1,1,100000,0,41.99,867470b,2381.52,0.42,2022-12-03 13:44:11
2,mongodb,update,1,1,100000,0,7584.65,867470b,13.18,75.85,2022-12-03 15:50:35
3,mongodb,delete,1,1,100000,0,77.11,867470b,1296.85,0.77,2022-12-03 15:51:52
4,mongodb,insert,1,10,100000,0,6.94,867470b,14409.22,0.69,2022-12-03 15:52:00
5,mongodb,update,1,10,100000,0,1593.52,867470b,62.75,159.35,2022-12-03 16:18:33
6,mongodb,delete,1,10,100000,0,793.91,867470b,125.96,79.39,2022-12-03 16:31:47
7,mongodb,insert,1,50,100000,0,3.02,867470b,33112.58,1.51,2022-12-03 16:31:51
8,mongodb,update,1,50,100000,0,337.44,867470b,296.35,168.72,2022-12-03 16:37:28
9,mongodb,delete,1,50,100000,0,169.7,867470b,589.28,84.85,2022-12-03 16:40:18
10,mongodb,insert,1,100,100000,0,2.37,867470b,42194.09,2.37,2022-12-03 16:40:21
11,mongodb,update,1,100,100000,0,172.05,867470b,581.23,172.05,2022-12-03 16:43:13
12,mongodb,delete,1,100,100000,0,87.41,867470b,1144.03,87.41,2022-12-03 16:44:41
13,mongodb,insert,1,500,100000,0,2.04,867470b,49019.61,10.2,2022-12-03 16:44:43
14,mongodb,update,1,500,100000,0,39.5,867470b,2531.65,197.5,2022-12-03 16:45:23
15,mongodb,delete,1,500,100000,0,22.38,867470b,4468.28,111.9,2022-12-03 16:45:45
16,mongodb,insert,1,1000,100000,0,1.97,867470b,50761.42,19.7,2022-12-03 16:45:48
17,mongodb,update,1,1000,100000,0,22.36,867470b,4472.27,223.6,2022-12-03 16:46:10
18,mongodb,delete,1,1000,100000,0,14.2,867470b,7042.25,142.0,2022-12-03 16:46:24
19,mongodb,insert,0,1,100000,0,35.57,867470b,2811.36,0.36,2022-12-03 16:47:01
20,mongodb,update,0,1,100000,0,7496.1,867470b,13.34,74.96,2022-12-03 18:51:57
21,mongodb,delete,0,1,100000,0,70.92,867470b,1410.04,0.71,2022-12-03 18:53:08
22,mongodb,insert,0,10,100000,0,4.65,867470b,21505.38,0.47,2022-12-03 18:53:13
23,mongodb,update,0,10,100000,0,1585.17,867470b,63.08,158.52,2022-12-03 19:19:38
24,mongodb,delete,0,10,100000,0,770.02,867470b,129.87,77.0,2022-12-03 19:32:28
25,mongodb,insert,0,50,100000,0,1.81,867470b,55248.62,0.91,2022-12-03 19:32:31
26,mongodb,update,0,50,100000,0,330.9,867470b,302.21,165.45,2022-12-03 19:38:02
27,mongodb,delete,0,50,100000,0,163.39,867470b,612.03,81.7,2022-12-03 19:40:45
28,mongodb,insert,0,100,100000,0,1.27,867470b,78740.16,1.27,2022-12-03 19:40:47
29,mongodb,update,0,100,100000,0,169.69,867470b,589.31,169.69,2022-12-03 19:43:37
30,mongodb,delete,0,100,100000,0,85.88,867470b,1164.42,85.88,2022-12-03 19:45:02
31,mongodb,insert,0,500,100000,0,0.93,867470b,107526.88,4.65,2022-12-03 19:45:04
32,mongodb,update,0,500,100000,0,38.82,867470b,2575.99,194.1,2022-12-03 19:45:43
33,mongodb,delete,0,500,100000,0,20.39,867470b,4904.36,101.95,2022-12-03 19:46:03
34,mongodb,insert,0,1000,100000,0,0.91,867470b,109890.11,9.1,2022-12-03 19:46:05
35,mongodb,update,0,1000,100000,0,21.97,867470b,4551.66,219.7,2022-12-03 19:46:27
36,mongodb,delete,0,1000,100000,0,12.67,867470b,7892.66,126.7,2022-12-03 19:46:40
37,postgres,insert,1,1,100000,0,1200.72,867470b,83.28,12.01,2022-12-03 20:06:41
38,postgres,update,1,1,100000,0,3745.69,867470b,26.7,37.46,2022-12-03 21:09:06
39,postgres,delete,1,1,100000,0,1601.37,867470b,62.45,16.01,2022-12-03 21:35:48
40,postgres,insert,1,10,100000,0,121.66,867470b,821.96,12.17,2022-12-03 21:37:50
41,postgres,update,1,10,100000,0,124.2,867470b,805.15,12.42,2022-12-03 21:39:54
42,postgres,delete,1,10,100000,0,120.31,867470b,831.19,12.03,2022-12-03 21:41:54
43,postgres,insert,1,50,100000,0,24.63,867470b,4060.09,12.32,2022-12-03 21:42:19
44,postgres,update,1,50,100000,0,30.1,867470b,3322.26,15.05,2022-12-03 21:42:49
45,postgres,delete,1,50,100000,0,26.12,867470b,3828.48,13.06,2022-12-03 21:43:15
46,postgres,insert,1,100,100000,0,14.54,867470b,6877.58,14.54,2022-12-03 21:43:30
47,postgres,update,1,100,100000,0,29.99,867470b,3334.44,29.99,2022-12-03 21:44:00
48,postgres,delete,1,100,100000,0,21.23,867470b,4710.32,21.23,2022-12-03 21:44:21
49,postgres,insert,1,500,100000,0,13.63,867470b,7336.76,68.15,2022-12-03 21:44:35
50,postgres,update,1,500,100000,0,29.31,867470b,3411.8,146.55,2022-12-03 21:45:05
51,postgres,delete,1,500,100000,0,21.49,867470b,4653.33,107.45,2022-12-03 21:45:26
52,postgres,insert,1,1000,100000,0,13.51,867470b,7401.92,135.1,2022-12-03 21:45:40
53,postgres,update,1,1000,100000,0,29.43,867470b,3397.89,294.3,2022-12-03 21:46:09
54,postgres,delete,1,1000,100000,0,21.48,867470b,4655.49,214.8,2022-12-03 21:46:31
55,postgres,insert,0,1,100000,0,1196.14,867470b,83.6,11.96,2022-12-03 22:06:27
56,postgres,update,0,1,100000,0,1199.81,867470b,83.35,12.0,2022-12-03 22:26:27
57,postgres,delete,0,1,100000,0,1196.0,867470b,83.61,11.96,2022-12-03 22:46:23
58,postgres,insert,0,10,100000,0,120.85,867470b,827.47,12.09,2022-12-03 22:48:24
59,postgres,update,0,10,100000,0,121.74,867470b,821.42,12.17,2022-12-03 22:50:26
60,postgres,delete,0,10,100000,0,119.89,867470b,834.1,11.99,2022-12-03 22:52:26
